"Year","City","Sport","Discipline","Athlete","Country","Gender","Event","Medal"
1984,"Los Angeles","Archery","Archery","KIM, Jin-Ho","KOR","Women","Individual Fita Round","Bronze"
1984,"Los Angeles","Archery","Archery","SEO, Hyang-Soon","KOR","Women","Individual Fita Round","Gold"
1988,"Seoul","Archery","Archery","PARK, Sung-Soo","KOR","Men","Individual Fita Round","Silver"
1988,"Seoul","Archery","Archery","YUN, Young-Sook","KOR","Women","Individual Fita Round","Bronze"
1988,"Seoul","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Individual Fita Round","Gold"
1988,"Seoul","Archery","Archery","WANG, Hee-Kyung","KOR","Women","Individual Fita Round","Silver"
1988,"Seoul","Archery","Archery","CHUN, In-Soo","KOR","Men","Teams Fita Round","Gold"
1988,"Seoul","Archery","Archery","LEE, Han-Sup","KOR","Men","Teams Fita Round","Gold"
1988,"Seoul","Archery","Archery","PARK, Sung-Soo","KOR","Men","Teams Fita Round","Gold"
1988,"Seoul","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Teams Fita Round","Gold"
1988,"Seoul","Archery","Archery","WANG, Hee-Kyung","KOR","Women","Teams Fita Round","Gold"
1988,"Seoul","Archery","Archery","YUN, Young-Sook","KOR","Women","Teams Fita Round","Gold"
1992,"Barcelona","Archery","Archery","CHUNG, Jae-Hun","KOR","Men","Individual (Fita Olympic Round - 70M)","Silver"
1992,"Barcelona","Archery","Archery","CHO, Youn-Jeong","KOR","Women","Individual (Fita Olympic Round - 70M)","Gold"
1992,"Barcelona","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Individual (Fita Olympic Round - 70M)","Silver"
1992,"Barcelona","Archery","Archery","CHO, Youn-Jeong","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
1992,"Barcelona","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
1992,"Barcelona","Archery","Archery","LEE, Eun Kyung","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
1996,"Atlanta","Archery","Archery","OH, Kyo-Moon","KOR","Men","Individual (Fita Olympic Round - 70M)","Bronze"
1996,"Atlanta","Archery","Archery","KIM, Kyung-Wook","KOR","Women","Individual (Fita Olympic Round - 70M)","Gold"
1996,"Atlanta","Archery","Archery","JANG, Yong-Ho","KOR","Men","Team (Fita Olympic Round - 70M)","Silver"
1996,"Atlanta","Archery","Archery","KIM, Bo-Ram","KOR","Men","Team (Fita Olympic Round - 70M)","Silver"
1996,"Atlanta","Archery","Archery","OH, Kyo-Moon","KOR","Men","Team (Fita Olympic Round - 70M)","Silver"
1996,"Atlanta","Archery","Archery","KIM, Jo-Sun","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
1996,"Atlanta","Archery","Archery","KIM, Kyung-Wook","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
1996,"Atlanta","Archery","Archery","YOUN, Hye-Young","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Individual (Fita Olympic Round - 70M)","Bronze"
2000,"Sydney","Archery","Archery","YUN, Mi-Jin","KOR","Women","Individual (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","KIM, Nam-Soon","KOR","Women","Individual (Fita Olympic Round - 70M)","Silver"
2000,"Sydney","Archery","Archery","JANG, Yong-Ho","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","KIM, Chung-Tae","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","OH, Kyo-Moon","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","KIM, Nam-Soon","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","KIM, Soo-Nyung","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2000,"Sydney","Archery","Archery","YUN, Mi-Jin","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","PARK, Sung-Hyun","KOR","Women","Individual (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","LEE, Sung Jin","KOR","Women","Individual (Fita Olympic Round - 70M)","Silver"
2004,"Athens","Archery","Archery","IM, Dong Hyun","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","JANG, Yong-Ho","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","PARK, Kyung Mo","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","LEE, Sung Jin","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","PARK, Sung-Hyun","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2004,"Athens","Archery","Archery","YUN, Mi-Jin","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","PARK, Kyung-Mo","KOR","Men","Individual (Fita Olympic Round - 70M)","Silver"
2008,"Beijing","Archery","Archery","YUN, Ok-Hee","KOR","Women","Individual (Fita Olympic Round - 70M)","Bronze"
2008,"Beijing","Archery","Archery","PARK, Sung-Hyun","KOR","Women","Individual (Fita Olympic Round - 70M)","Silver"
2008,"Beijing","Archery","Archery","IM, Dong-Hyun","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","LEE, Chang-Hwan","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","PARK, Kyung-Mo","KOR","Men","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","JOO, Hyun-Jung","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","PARK, Sung-Hyun","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2008,"Beijing","Archery","Archery","YUN, Ok-Hee","KOR","Women","Team (Fita Olympic Round - 70M)","Gold"
2012,"London","Archery","Archery","OH, Jin Hyek","KOR","Men","Individual","Gold"
2012,"London","Archery","Archery","KI, Bo Bae","KOR","Women","Individual","Gold"
2012,"London","Archery","Archery","IM, Dong Hyun","KOR","Men","Team","Bronze"
2012,"London","Archery","Archery","KIM, Bubmin","KOR","Men","Team","Bronze"
2012,"London","Archery","Archery","OH, Jin Hyek","KOR","Men","Team","Bronze"
2012,"London","Archery","Archery","CHOI, Hyeonju","KOR","Women","Team","Gold"
2012,"London","Archery","Archery","KI, Bo Bae","KOR","Women","Team","Gold"
2012,"London","Archery","Archery","LEE, Sung Jin","KOR","Women","Team","Gold"
